,Geohash,GeohashBounds,Latitude_SW,Longitude_SW,Latitude_NE,Longitude_NE,Location,Latitude,Longitude,City,County,State,Country,ISO_3166_2,SeverityScore,IncidentsTotal,UpdateDate,Version,LATITUDE,LONGITUDE,COUNT
18,dpz86ng,"POLYGON((-79.3611145019531 43.6747741699219, -79.3597412109375 43.6747741699219, -79.3597412109375 43.6761474609375, -79.3611145019531 43.6761474609375, -79.3611145019531 43.6747741699219))",43.675,-79.361,43.676,-79.36,POINT(-79.36056 43.67571),43.676,-79.361,Toronto,,Ontario,Canada,CA-ON,0.021,17,2022-02-02,5.1,43.676,-79.361,1
19,dpz2je2,"POLYGON((-79.56298828125 43.6116027832031, -79.5616149902344 43.6116027832031, -79.5616149902344 43.6129760742188, -79.56298828125 43.6129760742188, -79.56298828125 43.6116027832031))",43.612,-79.563,43.613,-79.562,POINT(-79.56216 43.61242),43.612,-79.562,Toronto,,Ontario,Canada,CA-ON,0.009,8,2022-02-02,5.1,43.612,-79.562,1
20,dpz2wbw,"POLYGON((-79.4998168945312 43.6843872070312, -79.4984436035156 43.6843872070313, -79.4984436035156 43.6857604980469, -79.4998168945312 43.6857604980469, -79.4998168945312 43.6843872070312))",43.684,-79.5,43.686,-79.498,POINT(-79.49901 43.6851),43.685,-79.499,Toronto,,Ontario,Canada,CA-ON,0.014,9,2022-02-02,5.1,43.685,-79.499,1
21,dpz2ru8,"POLYGON((-79.464111328125 43.6624145507812, -79.4627380371094 43.6624145507813, -79.4627380371094 43.6637878417969, -79.464111328125 43.6637878417969, -79.464111328125 43.6624145507812))",43.662,-79.464,43.664,-79.463,POINT(-79.46362 43.6635),43.664,-79.464,Toronto,,Ontario,Canada,CA-ON,0.018,9,2022-02-02,5.1,43.664,-79.464,1
22,dpz2jwz,"POLYGON((-79.5533752441406 43.6308288574219, -79.552001953125 43.6308288574219, -79.552001953125 43.6322021484375, -79.5533752441406 43.6322021484375, -79.5533752441406 43.6308288574219))",43.631,-79.553,43.632,-79.552,POINT(-79.55217 43.63113),43.631,-79.552,Toronto,,Ontario,Canada,CA-ON,0.004,3,2022-02-02,5.1,43.631,-79.552,3
23,dpz2pq9,"POLYGON((-79.4847106933594 43.6294555664063, -79.4833374023438 43.6294555664063, -79.4833374023438 43.6308288574219, -79.4847106933594 43.6308288574219, -79.4847106933594 43.6294555664063))",43.629,-79.485,43.631,-79.483,POINT(-79.4843 43.63024),43.63,-79.484,Toronto,,Ontario,Canada,CA-ON,0.005,3,2022-02-02,5.1,43.63,-79.484,2
24,dpz2nkf,"POLYGON((-79.5272827148438 43.6198425292969, -79.5259094238281 43.6198425292969, -79.5259094238281 43.6212158203125, -79.5272827148438 43.6212158203125, -79.5272827148438 43.6198425292969))",43.62,-79.527,43.621,-79.526,POINT(-79.52652 43.62048),43.62,-79.527,Toronto,,Ontario,Canada,CA-ON,0.049,157,2022-02-02,5.1,43.62,-79.527,1
25,dpz91q1,"POLYGON((-79.3968200683594 43.802490234375, -79.3954467773438 43.802490234375, -79.3954467773438 43.8038635253906, -79.3968200683594 43.8038635253906, -79.3968200683594 43.802490234375))",43.802,-79.397,43.804,-79.395,POINT(-79.39615 43.80325),43.803,-79.396,Toronto,,Ontario,Canada,CA-ON,0.007,6,2022-02-02,5.1,43.803,-79.396,1
26,dpz2jed,"POLYGON((-79.5602416992188 43.6129760742188, -79.5588684082031 43.6129760742188, -79.5588684082031 43.6143493652344, -79.5602416992188 43.6143493652344, -79.5602416992188 43.6129760742188))",43.613,-79.56,43.614,-79.559,POINT(-79.55965 43.61339),43.613,-79.56,Toronto,,Ontario,Canada,CA-ON,0.002,3,2022-02-02,5.1,43.613,-79.56,1
27,dpz3pe5,"POLYGON((-79.4709777832031 43.7860107421875, -79.4696044921875 43.7860107421875, -79.4696044921875 43.7873840332031, -79.4709777832031 43.7873840332031, -79.4709777832031 43.7860107421875))",43.786,-79.471,43.787,-79.47,POINT(-79.47026 43.78695),43.787,-79.47,Toronto,,Ontario,Canada,CA-ON,0.023,46,2022-02-02,5.1,43.787,-79.47,3
28,dpz2jgs,"POLYGON((-79.5465087890625 43.6129760742188, -79.5451354980469 43.6129760742188, -79.5451354980469 43.6143493652344, -79.5465087890625 43.6143493652344, -79.5465087890625 43.6129760742188))",43.613,-79.547,43.614,-79.545,POINT(-79.5457 43.61398),43.614,-79.546,Toronto,,Ontario,Canada,CA-ON,0.013,31,2022-02-02,5.1,43.614,-79.546,1
29,dpz2pjz,"POLYGON((-79.4874572753906 43.6253356933594, -79.486083984375 43.6253356933594, -79.486083984375 43.626708984375, -79.4874572753906 43.626708984375, -79.4874572753906 43.6253356933594))",43.625,-79.487,43.627,-79.486,POINT(-79.48675 43.62633),43.626,-79.487,Toronto,,Ontario,Canada,CA-ON,0.012,95,2022-02-02,5.1,43.626,-79.487,1
30,dpz2nvq,"POLYGON((-79.4998168945312 43.6225891113281, -79.4984436035156 43.6225891113281, -79.4984436035156 43.6239624023438, -79.4998168945312 43.6239624023438, -79.4998168945312 43.6225891113281))",43.623,-79.5,43.624,-79.498,POINT(-79.49934 43.62329),43.623,-79.499,Toronto,,Ontario,Canada,CA-ON,0.003,13,2022-02-02,5.1,43.623,-79.499,1
31,dpz2jsx,"POLYGON((-79.5533752441406 43.6184692382812, -79.552001953125 43.6184692382812, -79.552001953125 43.6198425292969, -79.5533752441406 43.6198425292969, -79.5533752441406 43.6184692382812))",43.618,-79.553,43.62,-79.552,POINT(-79.55288 43.61948),43.619,-79.553,Toronto,,Ontario,Canada,CA-ON,0.015,191,2022-02-02,5.1,43.619,-79.553,1
32,dpz2v7s,"POLYGON((-79.5684814453125 43.7448120117188, -79.5671081542969 43.7448120117188, -79.5671081542969 43.7461853027344, -79.5684814453125 43.7461853027344, -79.5684814453125 43.7448120117188))",43.745,-79.568,43.746,-79.567,POINT(-79.56837 43.74604),43.746,-79.568,Toronto,,Ontario,Canada,CA-ON,0.004,4,2022-02-02,5.1,43.746,-79.568,3
33,dpz2v7u,"POLYGON((-79.5684814453125 43.7461853027344, -79.5671081542969 43.7461853027344, -79.5671081542969 43.74755859375, -79.5684814453125 43.74755859375, -79.5684814453125 43.7461853027344))",43.746,-79.568,43.748,-79.567,POINT(-79.56763 43.74649),43.746,-79.568,Toronto,,Ontario,Canada,CA-ON,0.011,6,2022-02-02,5.1,43.746,-79.568,3
34,dpz8844,"POLYGON((-79.4503784179688 43.692626953125, -79.4490051269531 43.692626953125, -79.4490051269531 43.6940002441406, -79.4503784179688 43.6940002441406, -79.4503784179688 43.692626953125))",43.693,-79.45,43.694,-79.449,POINT(-79.44927 43.69346),43.693,-79.449,Toronto,,Ontario,Canada,CA-ON,0.008,3,2022-02-02,5.1,43.693,-79.449,1
35,dpz2jw0,"POLYGON((-79.56298828125 43.626708984375, -79.5616149902344 43.626708984375, -79.5616149902344 43.6280822753906, -79.56298828125 43.6280822753906, -79.56298828125 43.626708984375))",43.627,-79.563,43.628,-79.562,POINT(-79.5621 43.62734),43.627,-79.562,Toronto,,Ontario,Canada,CA-ON,0.006,6,2022-02-02,5.1,43.627,-79.562,2
