,AvgAcceleration,PercentCar,PercentOfVehicles,PercentOther,IncidentsTotal,LATITUDE,LONGITUDE,COUNT
0,0.4609620253164559,0.0173924050632911,0.0563924050632911,0.1144936708860759,47,43.59,-79.54,4
1,0.4919753086419754,0.0162098765432098,0.0723703703703703,0.0995308641975308,8,43.59,-79.53,11
2,0.5503095238095238,0.0281666666666666,0.0526428571428571,0.078,6,43.59,-79.51,6
3,0.4812285714285714,0.0306857142857142,0.0431857142857142,0.1044714285714285,1419,43.6,-79.55,2
4,0.4636626506024097,0.0098192771084337,0.0456385542168674,0.1094578313253011,24,43.6,-79.54,10
5,0.4756265060240964,0.0085662650602409,0.0799518072289156,0.1290963855421687,3,43.6,-79.53,3
6,0.6140416666666666,0.0069861111111111,0.0406944444444444,0.0852638888888889,10,43.6,-79.51,9
7,0.6219499999999999,0.0127375,0.0716874999999999,0.1081124999999999,109,43.6,-79.5,11
8,0.6302800000000002,0.0254533333333333,0.0593599999999999,0.1975066666666667,35,43.61,-79.56,5
9,0.6040152671755727,0.0256946564885496,0.0484885496183205,0.1459083969465649,1986,43.61,-79.55,11
10,0.6651415094339624,0.0174339622641509,0.0606509433962264,0.1373396226415094,860,43.61,-79.54,4
11,0.563978494623656,0.0122365591397849,0.0576344086021505,0.1233655913978494,2160,43.61,-79.53,9
12,0.5512972972972975,0.0258108108108108,0.0442162162162161,0.1157837837837837,407,43.61,-79.52,13
13,0.5781558441558443,0.0304285714285714,0.0367402597402597,0.100038961038961,24,43.61,-79.51,6
14,0.6134428571428574,0.0216428571428571,0.0480857142857142,0.0749714285714285,17,43.61,-79.5,2
15,0.5504347826086958,0.0194521739130434,0.0726173913043477,0.085,3,43.61,-79.48,5
16,0.5836521739130432,0.0074492753623188,0.0579420289855072,0.3084782608695651,9,43.62,-79.56,3
17,0.6916517857142858,0.0115267857142857,0.0431874999999999,0.2525178571428572,1207,43.62,-79.55,6
18,0.7330128205128205,0.0056923076923076,0.0871794871794871,0.1856923076923076,3,43.62,-79.53,2
19,0.5373088235294119,0.0117647058823529,0.0545147058823529,0.1360147058823529,238,43.62,-79.52,12
20,0.5028709677419356,0.0161290322580645,0.0385698924731182,0.1166129032258064,205,43.62,-79.51,12
21,0.5381495327102803,0.015214953271028,0.0430654205607476,0.0963084112149532,10,43.62,-79.5,15
22,0.7253977900552486,0.0210939226519336,0.0547458563535911,0.1094861878453038,1875,43.62,-79.48,10
23,0.6290714285714286,0.0839761904761904,0.0587142857142857,0.101595238095238,16,43.62,-79.47,5
24,0.607717277486911,0.0166230366492146,0.0519895287958115,0.1459005235602092,82,43.63,-79.56,7
