Geohash,GeohashBounds,Latitude_SW,Longitude_SW,Latitude_NE,Longitude_NE,Location,Latitude,Longitude,City,County,State,Country,ISO_3166_2,SeverityScore,IncidentsTotal,UpdateDate,Version
dpz8gpv,"POLYGON((-79.3144226074219 43.7681579589844, -79.3130493164062 43.7681579589844, -79.3130493164062 43.76953125, -79.3144226074219 43.76953125, -79.3144226074219 43.7681579589844))",43.768,-79.314,43.77,-79.313,POINT(-79.31367 43.76855),43.769,-79.314,Toronto,,Ontario,Canada,CA-ON,0.001,14,2022-02-02,5.1
dpz8fzb,"POLYGON((-79.332275390625 43.7681579589844, -79.3309020996094 43.7681579589844, -79.3309020996094 43.76953125, -79.332275390625 43.76953125, -79.332275390625 43.7681579589844))",43.768,-79.332,43.77,-79.331,POINT(-79.33157 43.7683),43.768,-79.332,Toronto,,Ontario,Canada,CA-ON,0.004,6,2022-02-02,5.1
dpz8bzy,"POLYGON((-79.4119262695312 43.7681579589844, -79.4105529785156 43.7681579589844, -79.4105529785156 43.76953125, -79.4119262695312 43.76953125, -79.4119262695312 43.7681579589844))",43.768,-79.412,43.77,-79.411,POINT(-79.41129 43.76912),43.769,-79.411,Toronto,,Ontario,Canada,CA-ON,0.009,3,2022-02-02,5.1
dpz8fxz,"POLYGON((-79.3336486816406 43.7681579589844, -79.332275390625 43.7681579589844, -79.332275390625 43.76953125, -79.3336486816406 43.76953125, -79.3336486816406 43.7681579589844))",43.768,-79.334,43.77,-79.332,POINT(-79.3325 43.76848),43.768,-79.332,Toronto,,Ontario,Canada,CA-ON,0.004,9,2022-02-02,5.1
dpz8fzv,"POLYGON((-79.3254089355469 43.7681579589844, -79.3240356445312 43.7681579589844, -79.3240356445312 43.76953125, -79.3254089355469 43.76953125, -79.3254089355469 43.7681579589844))",43.768,-79.325,43.77,-79.324,POINT(-79.32466 43.76853),43.769,-79.325,Toronto,,Ontario,Canada,CA-ON,0.004,18,2022-02-02,5.1
dpz8gpg,"POLYGON((-79.3171691894531 43.7681579589844, -79.3157958984375 43.7681579589844, -79.3157958984375 43.76953125, -79.3171691894531 43.76953125, -79.3171691894531 43.7681579589844))",43.768,-79.317,43.77,-79.316,POINT(-79.31655 43.76849),43.768,-79.317,Toronto,,Ontario,Canada,CA-ON,0.002,17,2022-02-02,5.1
dpz8crz,"POLYGON((-79.3885803222656 43.7681579589844, -79.38720703125 43.7681579589844, -79.38720703125 43.76953125, -79.3885803222656 43.76953125, -79.3885803222656 43.7681579589844))",43.768,-79.389,43.77,-79.387,POINT(-79.38839 43.76865),43.769,-79.388,Toronto,,Ontario,Canada,CA-ON,0.009,3,2022-02-02,5.1
dpz8grc,"POLYGON((-79.3089294433594 43.7681579589844, -79.3075561523438 43.7681579589844, -79.3075561523438 43.76953125, -79.3089294433594 43.76953125, -79.3089294433594 43.7681579589844))",43.768,-79.309,43.77,-79.308,POINT(-79.30841 43.76924),43.769,-79.308,Toronto,,Ontario,Canada,CA-ON,0.002,12,2022-02-02,5.1
dpz8gzu,"POLYGON((-79.2828369140625 43.7681579589844, -79.2814636230469 43.7681579589844, -79.2814636230469 43.76953125, -79.2828369140625 43.76953125, -79.2828369140625 43.7681579589844))",43.768,-79.283,43.77,-79.281,POINT(-79.28193 43.76881),43.769,-79.282,Toronto,,Ontario,Canada,CA-ON,0.047,59,2022-02-02,5.1
dpz2zxy,"POLYGON((-79.4668579101562 43.7681579589844, -79.4654846191406 43.7681579589844, -79.4654846191406 43.76953125, -79.4668579101562 43.76953125, -79.4668579101562 43.7681579589844))",43.768,-79.467,43.77,-79.465,POINT(-79.46667 43.76852),43.769,-79.467,Toronto,,Ontario,Canada,CA-ON,0.022,18,2022-02-02,5.1
dpz8fzc,"POLYGON((-79.3309020996094 43.7681579589844, -79.3295288085938 43.7681579589844, -79.3295288085938 43.76953125, -79.3309020996094 43.76953125, -79.3309020996094 43.7681579589844))",43.768,-79.331,43.77,-79.33,POINT(-79.33036 43.76842),43.768,-79.33,Toronto,,Ontario,Canada,CA-ON,0.002,6,2022-02-02,5.1
dpz8b2b,"POLYGON((-79.442138671875 43.7297058105469, -79.4407653808594 43.7297058105469, -79.4407653808594 43.7310791015625, -79.442138671875 43.7310791015625, -79.442138671875 43.7297058105469))",43.73,-79.442,43.731,-79.441,POINT(-79.44146 43.73051),43.731,-79.441,Toronto,,Ontario,Canada,CA-ON,0.001,8,2022-02-02,5.1
dpz2u8u,"POLYGON((-79.6014404296875 43.7297058105469, -79.6000671386719 43.7297058105469, -79.6000671386719 43.7310791015625, -79.6014404296875 43.7310791015625, -79.6014404296875 43.7297058105469))",43.73,-79.601,43.731,-79.6,POINT(-79.60122 43.73041),43.73,-79.601,Toronto,,Ontario,Canada,CA-ON,0.047,52,2022-02-02,5.1
dpz8b0c,"POLYGON((-79.4517517089844 43.7297058105469, -79.4503784179688 43.7297058105469, -79.4503784179688 43.7310791015625, -79.4517517089844 43.7310791015625, -79.4517517089844 43.7297058105469))",43.73,-79.452,43.731,-79.45,POINT(-79.45115 43.73049),43.73,-79.451,Toronto,,Ontario,Canada,CA-ON,0.002,4,2022-02-02,5.1
dpz8bbc,"POLYGON((-79.4187927246094 43.7297058105469, -79.4174194335938 43.7297058105469, -79.4174194335938 43.7310791015625, -79.4187927246094 43.7310791015625, -79.4187927246094 43.7297058105469))",43.73,-79.419,43.731,-79.417,POINT(-79.41862 43.72995),43.73,-79.419,Toronto,,Ontario,Canada,CA-ON,0.008,6,2022-02-02,5.1
dpz8g2u,"POLYGON((-79.3048095703125 43.7297058105469, -79.3034362792969 43.7297058105469, -79.3034362792969 43.7310791015625, -79.3048095703125 43.7310791015625, -79.3048095703125 43.7297058105469))",43.73,-79.305,43.731,-79.303,POINT(-79.3047 43.72989),43.73,-79.305,Toronto,,Ontario,Canada,CA-ON,0.147,46,2022-02-02,5.1
dpz8b2z,"POLYGON((-79.4325256347656 43.7297058105469, -79.43115234375 43.7297058105469, -79.43115234375 43.7310791015625, -79.4325256347656 43.7310791015625, -79.4325256347656 43.7297058105469))",43.73,-79.433,43.731,-79.431,POINT(-79.43232 43.73028),43.73,-79.432,Toronto,,Ontario,Canada,CA-ON,0.008,3,2022-02-02,5.1
dpz8gbz,"POLYGON((-79.2787170410156 43.7297058105469, -79.27734375 43.7297058105469, -79.27734375 43.7310791015625, -79.2787170410156 43.7310791015625, -79.2787170410156 43.7297058105469))",43.73,-79.279,43.731,-79.277,POINT(-79.27789 43.73014),43.73,-79.278,Toronto,,Ontario,Canada,CA-ON,0.075,51,2022-02-02,5.1
dpz8b0v,"POLYGON((-79.4462585449219 43.7297058105469, -79.4448852539062 43.7297058105469, -79.4448852539062 43.7310791015625, -79.4462585449219 43.7310791015625, -79.4462585449219 43.7297058105469))",43.73,-79.446,43.731,-79.445,POINT(-79.4456 43.73055),43.731,-79.446,Toronto,,Ontario,Canada,CA-ON,0.004,58,2022-02-02,5.1
dpz2y2g,"POLYGON((-79.5259094238281 43.7297058105469, -79.5245361328125 43.7297058105469, -79.5245361328125 43.7310791015625, -79.5259094238281 43.7310791015625, -79.5259094238281 43.7297058105469))",43.73,-79.526,43.731,-79.525,POINT(-79.52513 43.73036),43.73,-79.525,Toronto,,Ontario,Canada,CA-ON,0.004,34,2022-02-02,5.1
dpz8b0y,"POLYGON((-79.4448852539062 43.7297058105469, -79.4435119628906 43.7297058105469, -79.4435119628906 43.7310791015625, -79.4448852539062 43.7310791015625, -79.4448852539062 43.7297058105469))",43.73,-79.445,43.731,-79.444,POINT(-79.44423 43.7305),43.731,-79.444,Toronto,,Ontario,Canada,CA-ON,0.002,14,2022-02-02,5.1
dpz2u8g,"POLYGON((-79.6028137207031 43.7297058105469, -79.6014404296875 43.7297058105469, -79.6014404296875 43.7310791015625, -79.6028137207031 43.7310791015625, -79.6028137207031 43.7297058105469))",43.73,-79.603,43.731,-79.601,POINT(-79.60183 43.73064),43.731,-79.602,Toronto,,Ontario,Canada,CA-ON,0.013,7,2022-02-02,5.1
dpz8g2g,"POLYGON((-79.3061828613281 43.7297058105469, -79.3048095703125 43.7297058105469, -79.3048095703125 43.7310791015625, -79.3061828613281 43.7310791015625, -79.3061828613281 43.7297058105469))",43.73,-79.306,43.731,-79.305,POINT(-79.3049 43.73028),43.73,-79.305,Toronto,,Ontario,Canada,CA-ON,0.04,10,2022-02-02,5.1
dpz8b0g,"POLYGON((-79.4490051269531 43.7297058105469, -79.4476318359375 43.7297058105469, -79.4476318359375 43.7310791015625, -79.4490051269531 43.7310791015625, -79.4490051269531 43.7297058105469))",43.73,-79.449,43.731,-79.448,POINT(-79.44827 43.73009),43.73,-79.448,Toronto,,Ontario,Canada,CA-ON,0.008,127,2022-02-02,5.1
dpz2u0y,"POLYGON((-79.6206665039062 43.7297058105469, -79.6192932128906 43.7297058105469, -79.6192932128906 43.7310791015625, -79.6206665039062 43.7310791015625, -79.6206665039062 43.7297058105469))",43.73,-79.621,43.731,-79.619,POINT(-79.61964 43.73013),43.73,-79.62,Toronto,,Ontario,Canada,CA-ON,0.017,3,2022-02-02,5.1
dpz2y0g,"POLYGON((-79.5368957519531 43.7297058105469, -79.5355224609375 43.7297058105469, -79.5355224609375 43.7310791015625, -79.5368957519531 43.7310791015625, -79.5368957519531 43.7297058105469))",43.73,-79.537,43.731,-79.536,POINT(-79.5363 43.72985),43.73,-79.536,Toronto,,Ontario,Canada,CA-ON,0.023,22,2022-02-02,5.1
dpz8g8z,"POLYGON((-79.2897033691406 43.7297058105469, -79.288330078125 43.7297058105469, -79.288330078125 43.7310791015625, -79.2897033691406 43.7310791015625, -79.2897033691406 43.7297058105469))",43.73,-79.29,43.731,-79.288,POINT(-79.28874 43.73072),43.731,-79.289,Toronto,,Ontario,Canada,CA-ON,0.02,17,2022-02-02,5.1
dpz8b0u,"POLYGON((-79.4476318359375 43.7297058105469, -79.4462585449219 43.7297058105469, -79.4462585449219 43.7310791015625, -79.4476318359375 43.7310791015625, -79.4476318359375 43.7297058105469))",43.73,-79.448,43.731,-79.446,POINT(-79.44708 43.73029),43.73,-79.447,Toronto,,Ontario,Canada,CA-ON,0.005,57,2022-02-02,5.1
dpz8fbc,"POLYGON((-79.3309020996094 43.7297058105469, -79.3295288085938 43.7297058105469, -79.3295288085938 43.7310791015625, -79.3309020996094 43.7310791015625, -79.3309020996094 43.7297058105469))",43.73,-79.331,43.731,-79.33,POINT(-79.33072 43.73026),43.73,-79.331,Toronto,,Ontario,Canada,CA-ON,0.003,10,2022-02-02,5.1
dpz8b0b,"POLYGON((-79.453125 43.7297058105469, -79.4517517089844 43.7297058105469, -79.4517517089844 43.7310791015625, -79.453125 43.7310791015625, -79.453125 43.7297058105469))",43.73,-79.453,43.731,-79.452,POINT(-79.45272 43.73018),43.73,-79.453,Toronto,,Ontario,Canada,CA-ON,0.003,7,2022-02-02,5.1
dpz2z2f,"POLYGON((-79.4833374023438 43.7297058105469, -79.4819641113281 43.7297058105469, -79.4819641113281 43.7310791015625, -79.4833374023438 43.7310791015625, -79.4833374023438 43.7297058105469))",43.73,-79.483,43.731,-79.482,POINT(-79.48295 43.73059),43.731,-79.483,Toronto,,Ontario,Canada,CA-ON,0.016,12,2022-02-02,5.1
dpz8u0f,"POLYGON((-79.2745971679688 43.7297058105469, -79.2732238769531 43.7297058105469, -79.2732238769531 43.7310791015625, -79.2745971679688 43.7310791015625, -79.2745971679688 43.7297058105469))",43.73,-79.275,43.731,-79.273,POINT(-79.27411 43.73072),43.731,-79.274,Toronto,,Ontario,Canada,CA-ON,0.027,5,2022-02-02,5.1
dpz8c0u,"POLYGON((-79.4036865234375 43.7297058105469, -79.4023132324219 43.7297058105469, -79.4023132324219 43.7310791015625, -79.4036865234375 43.7310791015625, -79.4036865234375 43.7297058105469))",43.73,-79.404,43.731,-79.402,POINT(-79.40358 43.73047),43.73,-79.404,Toronto,,Ontario,Canada,CA-ON,0.01,7,2022-02-02,5.1
dpz8b0z,"POLYGON((-79.4435119628906 43.7297058105469, -79.442138671875 43.7297058105469, -79.442138671875 43.7310791015625, -79.4435119628906 43.7310791015625, -79.4435119628906 43.7297058105469))",43.73,-79.444,43.731,-79.442,POINT(-79.44284 43.73072),43.731,-79.443,Toronto,,Ontario,Canada,CA-ON,0,3,2022-02-02,5.1
dpz2zbu,"POLYGON((-79.4586181640625 43.7297058105469, -79.4572448730469 43.7297058105469, -79.4572448730469 43.7310791015625, -79.4586181640625 43.7310791015625, -79.4586181640625 43.7297058105469))",43.73,-79.459,43.731,-79.457,POINT(-79.45832 43.73021),43.73,-79.458,Toronto,,Ontario,Canada,CA-ON,0.012,11,2022-02-02,5.1
dpz8u8z,"POLYGON((-79.2457580566406 43.7297058105469, -79.244384765625 43.7297058105469, -79.244384765625 43.7310791015625, -79.2457580566406 43.7310791015625, -79.2457580566406 43.7297058105469))",43.73,-79.246,43.731,-79.244,POINT(-79.2451 43.73006),43.73,-79.245,Toronto,,Ontario,Canada,CA-ON,0.071,11,2022-02-02,5.1
dpz8b0f,"POLYGON((-79.4503784179688 43.7297058105469, -79.4490051269531 43.7297058105469, -79.4490051269531 43.7310791015625, -79.4503784179688 43.7310791015625, -79.4503784179688 43.7297058105469))",43.73,-79.45,43.731,-79.449,POINT(-79.44965 43.72983),43.73,-79.45,Toronto,,Ontario,Canada,CA-ON,0.008,94,2022-02-02,5.1
dpz80zg,"POLYGON((-79.4160461425781 43.6363220214844, -79.4146728515625 43.6363220214844, -79.4146728515625 43.6376953125, -79.4160461425781 43.6376953125, -79.4160461425781 43.6363220214844))",43.636,-79.416,43.638,-79.415,POINT(-79.41514 43.63668),43.637,-79.415,Toronto,,Ontario,Canada,CA-ON,0.001,3,2022-02-02,5.1
dpz80zz,"POLYGON((-79.4105529785156 43.6363220214844, -79.4091796875 43.6363220214844, -79.4091796875 43.6376953125, -79.4105529785156 43.6376953125, -79.4105529785156 43.6363220214844))",43.636,-79.411,43.638,-79.409,POINT(-79.40986 43.63718),43.637,-79.41,Toronto,,Ontario,Canada,CA-ON,0.01,57,2022-02-02,5.1
dpz80zu,"POLYGON((-79.4146728515625 43.6363220214844, -79.4132995605469 43.6363220214844, -79.4132995605469 43.6376953125, -79.4146728515625 43.6376953125, -79.4146728515625 43.6363220214844))",43.636,-79.415,43.638,-79.413,POINT(-79.41392 43.63706),43.637,-79.414,Toronto,,Ontario,Canada,CA-ON,0.003,11,2022-02-02,5.1
dpz81pc,"POLYGON((-79.4078063964844 43.6363220214844, -79.4064331054688 43.6363220214844, -79.4064331054688 43.6376953125, -79.4078063964844 43.6376953125, -79.4078063964844 43.6363220214844))",43.636,-79.408,43.638,-79.406,POINT(-79.407 43.63739),43.637,-79.407,Toronto,,Ontario,Canada,CA-ON,0.005,18,2022-02-02,5.1
dpz81pb,"POLYGON((-79.4091796875 43.6363220214844, -79.4078063964844 43.6363220214844, -79.4078063964844 43.6376953125, -79.4091796875 43.6376953125, -79.4091796875 43.6363220214844))",43.636,-79.409,43.638,-79.408,POINT(-79.40858 43.63743),43.637,-79.409,Toronto,,Ontario,Canada,CA-ON,0.007,28,2022-02-02,5.1
dpz2pxy,"POLYGON((-79.4668579101562 43.6363220214844, -79.4654846191406 43.6363220214844, -79.4654846191406 43.6376953125, -79.4668579101562 43.6376953125, -79.4668579101562 43.6363220214844))",43.636,-79.467,43.638,-79.465,POINT(-79.4659 43.63695),43.637,-79.466,Toronto,,Ontario,Canada,CA-ON,0.014,66,2022-02-02,5.1
dpz81pf,"POLYGON((-79.4064331054688 43.6363220214844, -79.4050598144531 43.6363220214844, -79.4050598144531 43.6376953125, -79.4064331054688 43.6376953125, -79.4064331054688 43.6363220214844))",43.636,-79.406,43.638,-79.405,POINT(-79.40581 43.63742),43.637,-79.406,Toronto,,Ontario,Canada,CA-ON,0.003,6,2022-02-02,5.1
dpz80zy,"POLYGON((-79.4119262695312 43.6363220214844, -79.4105529785156 43.6363220214844, -79.4105529785156 43.6376953125, -79.4119262695312 43.6376953125, -79.4119262695312 43.6363220214844))",43.636,-79.412,43.638,-79.411,POINT(-79.41125 43.63744),43.637,-79.411,Toronto,,Ontario,Canada,CA-ON,0.004,11,2022-02-02,5.1
dpz80ru,"POLYGON((-79.4366455078125 43.6363220214844, -79.4352722167969 43.6363220214844, -79.4352722167969 43.6376953125, -79.4366455078125 43.6376953125, -79.4366455078125 43.6363220214844))",43.636,-79.437,43.638,-79.435,POINT(-79.43601 43.63705),43.637,-79.436,Toronto,,Ontario,Canada,CA-ON,0.005,6,2022-02-02,5.1
dpz80xg,"POLYGON((-79.4270324707031 43.6363220214844, -79.4256591796875 43.6363220214844, -79.4256591796875 43.6376953125, -79.4270324707031 43.6376953125, -79.4270324707031 43.6363220214844))",43.636,-79.427,43.638,-79.426,POINT(-79.4264 43.63718),43.637,-79.426,Toronto,,Ontario,Canada,CA-ON,0.005,3,2022-02-02,5.1
dpz80zv,"POLYGON((-79.4132995605469 43.6363220214844, -79.4119262695312 43.6363220214844, -79.4119262695312 43.6376953125, -79.4132995605469 43.6376953125, -79.4132995605469 43.6363220214844))",43.636,-79.413,43.638,-79.412,POINT(-79.4127 43.63724),43.637,-79.413,Toronto,,Ontario,Canada,CA-ON,0.005,15,2022-02-02,5.1
dpz2pxz,"POLYGON((-79.4654846191406 43.6363220214844, -79.464111328125 43.6363220214844, -79.464111328125 43.6376953125, -79.4654846191406 43.6376953125, -79.4654846191406 43.6363220214844))",43.636,-79.465,43.638,-79.464,POINT(-79.46476 43.63694),43.637,-79.465,Toronto,,Ontario,Canada,CA-ON,0.004,12,2022-02-02,5.1
dpz2pxg,"POLYGON((-79.4709777832031 43.6363220214844, -79.4696044921875 43.6363220214844, -79.4696044921875 43.6376953125, -79.4709777832031 43.6376953125, -79.4709777832031 43.6363220214844))",43.636,-79.471,43.638,-79.47,POINT(-79.47025 43.63723),43.637,-79.47,Toronto,,Ontario,Canada,CA-ON,0.005,3,2022-02-02,5.1
dpz81py,"POLYGON((-79.4009399414062 43.6363220214844, -79.3995666503906 43.6363220214844, -79.3995666503906 43.6376953125, -79.4009399414062 43.6376953125, -79.4009399414062 43.6363220214844))",43.636,-79.401,43.638,-79.4,POINT(-79.3999 43.63694),43.637,-79.4,Toronto,,Ontario,Canada,CA-ON,0.032,87,2022-02-02,5.1
dpz81pz,"POLYGON((-79.3995666503906 43.6363220214844, -79.398193359375 43.6363220214844, -79.398193359375 43.6376953125, -79.3995666503906 43.6376953125, -79.3995666503906 43.6363220214844))",43.636,-79.4,43.638,-79.398,POINT(-79.3993 43.63673),43.637,-79.399,Toronto,,Ontario,Canada,CA-ON,0.015,22,2022-02-02,5.1
dpz2jxf,"POLYGON((-79.5602416992188 43.6363220214844, -79.5588684082031 43.6363220214844, -79.5588684082031 43.6376953125, -79.5602416992188 43.6376953125, -79.5602416992188 43.6363220214844))",43.636,-79.56,43.638,-79.559,POINT(-79.55979 43.63714),43.637,-79.56,Toronto,,Ontario,Canada,CA-ON,0.003,32,2022-02-02,5.1
dpz2npb,"POLYGON((-79.541015625 43.6363220214844, -79.5396423339844 43.6363220214844, -79.5396423339844 43.6376953125, -79.541015625 43.6376953125, -79.541015625 43.6363220214844))",43.636,-79.541,43.638,-79.54,POINT(-79.54017 43.63655),43.637,-79.54,Toronto,,Ontario,Canada,CA-ON,0.005,3,2022-02-02,5.1
dpz81rb,"POLYGON((-79.398193359375 43.6363220214844, -79.3968200683594 43.6363220214844, -79.3968200683594 43.6376953125, -79.398193359375 43.6376953125, -79.398193359375 43.6363220214844))",43.636,-79.398,43.638,-79.397,POINT(-79.39735 43.6371),43.637,-79.397,Toronto,,Ontario,Canada,CA-ON,0.005,3,2022-02-02,5.1
dpz80pz,"POLYGON((-79.4435119628906 43.6363220214844, -79.442138671875 43.6363220214844, -79.442138671875 43.6376953125, -79.4435119628906 43.6376953125, -79.4435119628906 43.6363220214844))",43.636,-79.444,43.638,-79.442,POINT(-79.443 43.63649),43.636,-79.443,Toronto,,Ontario,Canada,CA-ON,0.001,6,2022-02-02,5.1
dpz2pxv,"POLYGON((-79.4682312011719 43.6363220214844, -79.4668579101562 43.6363220214844, -79.4668579101562 43.6376953125, -79.4682312011719 43.6376953125, -79.4682312011719 43.6363220214844))",43.636,-79.468,43.638,-79.467,POINT(-79.46701 43.6365),43.637,-79.467,Toronto,,Ontario,Canada,CA-ON,0.001,4,2022-02-02,5.1
dpz80py,"POLYGON((-79.4448852539062 43.6363220214844, -79.4435119628906 43.6363220214844, -79.4435119628906 43.6376953125, -79.4448852539062 43.6376953125, -79.4448852539062 43.6363220214844))",43.636,-79.445,43.638,-79.444,POINT(-79.44398 43.63692),43.637,-79.444,Toronto,,Ontario,Canada,CA-ON,0.002,5,2022-02-02,5.1
dpz81rf,"POLYGON((-79.3954467773438 43.6363220214844, -79.3940734863281 43.6363220214844, -79.3940734863281 43.6376953125, -79.3954467773438 43.6376953125, -79.3954467773438 43.6363220214844))",43.636,-79.395,43.638,-79.394,POINT(-79.39508 43.63715),43.637,-79.395,Toronto,,Ontario,Canada,CA-ON,0.017,7,2022-02-02,5.1
dpz9n04,"POLYGON((-79.1867065429688 43.76953125, -79.1853332519531 43.76953125, -79.1853332519531 43.7709045410156, -79.1867065429688 43.7709045410156, -79.1867065429688 43.76953125))",43.77,-79.187,43.771,-79.185,POINT(-79.18643 43.77005),43.77,-79.186,Toronto,,Ontario,Canada,CA-ON,0.012,12,2022-02-02,5.1
dpz948h,"POLYGON((-79.3377685546875 43.76953125, -79.3363952636719 43.76953125, -79.3363952636719 43.7709045410156, -79.3377685546875 43.7709045410156, -79.3377685546875 43.76953125))",43.77,-79.338,43.771,-79.336,POINT(-79.3372 43.77028),43.77,-79.337,Toronto,,Ontario,Canada,CA-ON,0.001,3,2022-02-02,5.1
dpz912n,"POLYGON((-79.3899536132812 43.76953125, -79.3885803222656 43.76953125, -79.3885803222656 43.7709045410156, -79.3899536132812 43.7709045410156, -79.3899536132812 43.76953125))",43.77,-79.39,43.771,-79.389,POINT(-79.38884 43.77022),43.77,-79.389,Toronto,,Ontario,Canada,CA-ON,0.005,4,2022-02-02,5.1
dpz3n0h,"POLYGON((-79.5355224609375 43.76953125, -79.5341491699219 43.76953125, -79.5341491699219 43.7709045410156, -79.5355224609375 43.7709045410156, -79.5355224609375 43.76953125))",43.77,-79.536,43.771,-79.534,POINT(-79.53478 43.77023),43.77,-79.535,Toronto,,Ontario,Canada,CA-ON,0.001,3,2022-02-02,5.1
dpz952h,"POLYGON((-79.3048095703125 43.76953125, -79.3034362792969 43.76953125, -79.3034362792969 43.7709045410156, -79.3048095703125 43.7709045410156, -79.3048095703125 43.76953125))",43.77,-79.305,43.771,-79.303,POINT(-79.30406 43.77023),43.77,-79.304,Toronto,,Ontario,Canada,CA-ON,0.003,35,2022-02-02,5.1
dpz3p05,"POLYGON((-79.4929504394531 43.76953125, -79.4915771484375 43.76953125, -79.4915771484375 43.7709045410156, -79.4929504394531 43.7709045410156, -79.4929504394531 43.76953125))",43.77,-79.493,43.771,-79.492,POINT(-79.49262 43.77021),43.77,-79.493,Toronto,,Ontario,Canada,CA-ON,0.116,131,2022-02-02,5.1
dpz3jbn,"POLYGON((-79.5437622070312 43.76953125, -79.5423889160156 43.76953125, -79.5423889160156 43.7709045410156, -79.5437622070312 43.7709045410156, -79.5437622070312 43.76953125))",43.77,-79.544,43.771,-79.542,POINT(-79.54328 43.77056),43.771,-79.543,Toronto,,Ontario,Canada,CA-ON,0.018,22,2022-02-02,5.1
dpz952j,"POLYGON((-79.3034362792969 43.76953125, -79.3020629882812 43.76953125, -79.3020629882812 43.7709045410156, -79.3034362792969 43.7709045410156, -79.3034362792969 43.76953125))",43.77,-79.303,43.771,-79.302,POINT(-79.30261 43.77065),43.771,-79.303,Toronto,,Ontario,Canada,CA-ON,0.001,10,2022-02-02,5.1
dpz9525,"POLYGON((-79.3061828613281 43.76953125, -79.3048095703125 43.76953125, -79.3048095703125 43.7709045410156, -79.3061828613281 43.7709045410156, -79.3061828613281 43.76953125))",43.77,-79.306,43.771,-79.305,POINT(-79.30549 43.77012),43.77,-79.305,Toronto,,Ontario,Canada,CA-ON,0.002,12,2022-02-02,5.1
dpz9h00,"POLYGON((-79.27734375 43.76953125, -79.2759704589844 43.76953125, -79.2759704589844 43.7709045410156, -79.27734375 43.7709045410156, -79.27734375 43.76953125))",43.77,-79.277,43.771,-79.276,POINT(-79.27678 43.77054),43.771,-79.277,Toronto,,Ontario,Canada,CA-ON,0.02,5,2022-02-02,5.1
dpz9524,"POLYGON((-79.3075561523438 43.76953125, -79.3061828613281 43.76953125, -79.3061828613281 43.7709045410156, -79.3075561523438 43.7709045410156, -79.3075561523438 43.76953125))",43.77,-79.308,43.771,-79.306,POINT(-79.30684 43.76986),43.77,-79.307,Toronto,,Ontario,Canada,CA-ON,0.001,16,2022-02-02,5.1
dpz95bh,"POLYGON((-79.2828369140625 43.76953125, -79.2814636230469 43.76953125, -79.2814636230469 43.7709045410156, -79.2828369140625 43.7709045410156, -79.2828369140625 43.76953125))",43.77,-79.283,43.771,-79.281,POINT(-79.28241 43.77002),43.77,-79.282,Toronto,,Ontario,Canada,CA-ON,0.017,47,2022-02-02,5.1
dpz9485,"POLYGON((-79.3391418457031 43.76953125, -79.3377685546875 43.76953125, -79.3377685546875 43.7709045410156, -79.3391418457031 43.7709045410156, -79.3391418457031 43.76953125))",43.77,-79.339,43.771,-79.338,POINT(-79.33833 43.77055),43.771,-79.338,Toronto,,Ontario,Canada,CA-ON,0.002,5,2022-02-02,5.1
dpz91b1,"POLYGON((-79.3748474121094 43.76953125, -79.3734741210938 43.76953125, -79.3734741210938 43.7709045410156, -79.3748474121094 43.7709045410156, -79.3748474121094 43.76953125))",43.77,-79.375,43.771,-79.373,POINT(-79.37407 43.76972),43.77,-79.374,Toronto,,Ontario,Canada,CA-ON,0.007,4,2022-02-02,5.1
dpz3n2n,"POLYGON((-79.5217895507812 43.76953125, -79.5204162597656 43.76953125, -79.5204162597656 43.7709045410156, -79.5217895507812 43.7709045410156, -79.5217895507812 43.76953125))",43.77,-79.522,43.771,-79.52,POINT(-79.52074 43.77012),43.77,-79.521,Toronto,,Ontario,Canada,CA-ON,0.017,3,2022-02-02,5.1
dpz9n01,"POLYGON((-79.1880798339844 43.76953125, -79.1867065429688 43.76953125, -79.1867065429688 43.7709045410156, -79.1880798339844 43.7709045410156, -79.1880798339844 43.76953125))",43.77,-79.188,43.771,-79.187,POINT(-79.18727 43.77015),43.77,-79.187,Toronto,,Ontario,Canada,CA-ON,0.011,12,2022-02-02,5.1
dpz9484,"POLYGON((-79.3405151367188 43.76953125, -79.3391418457031 43.76953125, -79.3391418457031 43.7709045410156, -79.3405151367188 43.7709045410156, -79.3405151367188 43.76953125))",43.77,-79.341,43.771,-79.339,POINT(-79.33934 43.77015),43.77,-79.339,Toronto,,Ontario,Canada,CA-ON,0.004,3,2022-02-02,5.1
dpz95bn,"POLYGON((-79.2800903320312 43.76953125, -79.2787170410156 43.76953125, -79.2787170410156 43.7709045410156, -79.2800903320312 43.7709045410156, -79.2800903320312 43.76953125))",43.77,-79.28,43.771,-79.279,POINT(-79.27923 43.76997),43.77,-79.279,Toronto,,Ontario,Canada,CA-ON,0.005,4,2022-02-02,5.1
dpz3jbj,"POLYGON((-79.5451354980469 43.76953125, -79.5437622070312 43.76953125, -79.5437622070312 43.7709045410156, -79.5451354980469 43.7709045410156, -79.5451354980469 43.76953125))",43.77,-79.545,43.771,-79.544,POINT(-79.5443 43.77057),43.771,-79.544,Toronto,,Ontario,Canada,CA-ON,0.006,5,2022-02-02,5.1
