Geohash,GeohashBounds,Latitude_SW,Longitude_SW,Latitude_NE,Longitude_NE,Location,Latitude,Longitude,City,County,State,Country,ISO_3166_2,SeverityScore,IncidentsTotal,UpdateDate,Version
dpz90vk,"POLYGON((-79.4146728515625 43.7983703613281, -79.4132995605469 43.7983703613281, -79.4132995605469 43.7997436523438, -79.4146728515625 43.7997436523438, -79.4146728515625 43.7983703613281))",43.798,-79.415,43.8,-79.413,POINT(-79.41417 43.79935),43.799,-79.414,Toronto,,Ontario,Canada,CA-ON,0.014,3,2022-02-02,5.1
dpz2jdv,"POLYGON((-79.5561218261719 43.6088562011719, -79.5547485351562 43.6088562011719, -79.5547485351562 43.6102294921875, -79.5561218261719 43.6102294921875, -79.5561218261719 43.6088562011719))",43.609,-79.556,43.61,-79.555,POINT(-79.55511 43.60911),43.609,-79.555,Toronto,,Ontario,Canada,CA-ON,0.095,598,2022-02-02,5.1
dpz2nke,"POLYGON((-79.5259094238281 43.6184692382812, -79.5245361328125 43.6184692382812, -79.5245361328125 43.6198425292969, -79.5259094238281 43.6198425292969, -79.5259094238281 43.6184692382812))",43.618,-79.526,43.62,-79.525,POINT(-79.52542 43.61882),43.619,-79.525,Toronto,,Ontario,Canada,CA-ON,0.005,17,2022-02-02,5.1
dpz9nvj,"POLYGON((-79.1496276855469 43.7969970703125, -79.1482543945312 43.7969970703125, -79.1482543945312 43.7983703613281, -79.1496276855469 43.7983703613281, -79.1496276855469 43.7969970703125))",43.797,-79.15,43.798,-79.148,POINT(-79.14871 43.79749),43.797,-79.149,Toronto,,Ontario,Canada,CA-ON,0.016,6,2022-02-02,5.1
dpz9pj6,"POLYGON((-79.1427612304688 43.7983703613281, -79.1413879394531 43.7983703613281, -79.1413879394531 43.7997436523438, -79.1427612304688 43.7997436523438, -79.1427612304688 43.7983703613281))",43.798,-79.143,43.8,-79.141,POINT(-79.14166 43.79929),43.799,-79.142,Toronto,,Ontario,Canada,CA-ON,0,3,2022-02-02,5.1
dpz94rj,"POLYGON((-79.3473815917969 43.8079833984375, -79.3460083007812 43.8079833984375, -79.3460083007812 43.8093566894531, -79.3473815917969 43.8093566894531, -79.3473815917969 43.8079833984375))",43.808,-79.347,43.809,-79.346,POINT(-79.34649 43.80863),43.809,-79.346,Toronto,,Ontario,Canada,CA-ON,0.003,7,2022-02-02,5.1
dpz8gee,"POLYGON((-79.2951965332031 43.7448120117188, -79.2938232421875 43.7448120117188, -79.2938232421875 43.7461853027344, -79.2951965332031 43.7461853027344, -79.2951965332031 43.7448120117188))",43.745,-79.295,43.746,-79.294,POINT(-79.2948 43.74554),43.746,-79.295,Toronto,,Ontario,Canada,CA-ON,0.026,80,2022-02-02,5.1
dpz9hkh,"POLYGON((-79.2608642578125 43.79150390625, -79.2594909667969 43.79150390625, -79.2594909667969 43.7928771972656, -79.2608642578125 43.7928771972656, -79.2608642578125 43.79150390625))",43.792,-79.261,43.793,-79.259,POINT(-79.25983 43.79204),43.792,-79.26,Toronto,,Ontario,Canada,CA-ON,0.019,34,2022-02-02,5.1
dpz9jv4,"POLYGON((-79.1976928710938 43.7969970703125, -79.1963195800781 43.7969970703125, -79.1963195800781 43.7983703613281, -79.1976928710938 43.7983703613281, -79.1976928710938 43.7969970703125))",43.797,-79.198,43.798,-79.196,POINT(-79.19737 43.79763),43.798,-79.197,Toronto,,Ontario,Canada,CA-ON,0.009,3,2022-02-02,5.1
dpz2pnm,"POLYGON((-79.4902038574219 43.6280822753906, -79.4888305664062 43.6280822753906, -79.4888305664062 43.6294555664063, -79.4902038574219 43.6294555664063, -79.4902038574219 43.6280822753906))",43.628,-79.49,43.629,-79.489,POINT(-79.4896 43.62903),43.629,-79.49,Toronto,,Ontario,Canada,CA-ON,0.008,10,2022-02-02,5.1
dpz2jsy,"POLYGON((-79.5547485351562 43.6198425292969, -79.5533752441406 43.6198425292969, -79.5533752441406 43.6212158203125, -79.5547485351562 43.6212158203125, -79.5547485351562 43.6198425292969))",43.62,-79.555,43.621,-79.553,POINT(-79.55365 43.62058),43.621,-79.554,Toronto,,Ontario,Canada,CA-ON,0.006,37,2022-02-02,5.1
dpz9jv9,"POLYGON((-79.1990661621094 43.7997436523438, -79.1976928710938 43.7997436523438, -79.1976928710938 43.8011169433594, -79.1990661621094 43.8011169433594, -79.1990661621094 43.7997436523438))",43.8,-79.199,43.801,-79.198,POINT(-79.19874 43.80027),43.8,-79.199,Toronto,,Ontario,Canada,CA-ON,0.014,15,2022-02-02,5.1
dpz95tf,"POLYGON((-79.2965698242188 43.8011169433594, -79.2951965332031 43.8011169433594, -79.2951965332031 43.802490234375, -79.2965698242188 43.802490234375, -79.2965698242188 43.8011169433594))",43.801,-79.297,43.802,-79.295,POINT(-79.29551 43.80164),43.802,-79.296,Toronto,,Ontario,Canada,CA-ON,0.01,6,2022-02-02,5.1
dpz9hkj,"POLYGON((-79.2594909667969 43.79150390625, -79.2581176757812 43.79150390625, -79.2581176757812 43.7928771972656, -79.2594909667969 43.7928771972656, -79.2594909667969 43.79150390625))",43.792,-79.259,43.793,-79.258,POINT(-79.25905 43.79221),43.792,-79.259,Toronto,,Ontario,Canada,CA-ON,0.039,3,2022-02-02,5.1
dpz2nk5,"POLYGON((-79.5259094238281 43.61572265625, -79.5245361328125 43.61572265625, -79.5245361328125 43.6170959472656, -79.5259094238281 43.6170959472656, -79.5259094238281 43.61572265625))",43.616,-79.526,43.617,-79.525,POINT(-79.52502 43.61659),43.617,-79.525,Toronto,,Ontario,Canada,CA-ON,0.003,6,2022-02-02,5.1
dpxrvzk,"POLYGON((-79.5465087890625 43.5896301269531, -79.5451354980469 43.5896301269531, -79.5451354980469 43.5910034179688, -79.5465087890625 43.5910034179687, -79.5465087890625 43.5896301269531))",43.59,-79.547,43.591,-79.545,POINT(-79.5454 43.59003),43.59,-79.545,Toronto,,Ontario,Canada,CA-ON,0.012,3,2022-02-02,5.1
dpz8d0d,"POLYGON((-79.3624877929688 43.6843872070312, -79.3611145019531 43.6843872070312, -79.3611145019531 43.6857604980469, -79.3624877929688 43.6857604980469, -79.3624877929688 43.6843872070312))",43.684,-79.362,43.686,-79.361,POINT(-79.36134 43.68483),43.685,-79.361,Toronto,,Ontario,Canada,CA-ON,0.002,6,2022-02-02,5.1
dpz83sd,"POLYGON((-79.3844604492188 43.6624145507812, -79.3830871582031 43.6624145507812, -79.3830871582031 43.6637878417969, -79.3844604492188 43.6637878417969, -79.3844604492188 43.6624145507812))",43.662,-79.384,43.664,-79.383,POINT(-79.38389 43.66299),43.663,-79.384,Toronto,,Ontario,Canada,CA-ON,0.006,3,2022-02-02,5.1
dpz2jw6,"POLYGON((-79.5602416992188 43.6280822753906, -79.5588684082031 43.6280822753906, -79.5588684082031 43.6294555664063, -79.5602416992188 43.6294555664063, -79.5602416992188 43.6280822753906))",43.628,-79.56,43.629,-79.559,POINT(-79.55916 43.62841),43.628,-79.559,Toronto,,Ontario,Canada,CA-ON,0.013,21,2022-02-02,5.1
dpz9hyb,"POLYGON((-79.244384765625 43.8066101074219, -79.2430114746094 43.8066101074219, -79.2430114746094 43.8079833984375, -79.244384765625 43.8079833984375, -79.244384765625 43.8066101074219))",43.807,-79.244,43.808,-79.243,POINT(-79.24376 43.80721),43.807,-79.244,Toronto,,Ontario,Canada,CA-ON,0.038,13,2022-02-02,5.1
dpz2jee,"POLYGON((-79.5588684082031 43.6129760742188, -79.5574951171875 43.6129760742188, -79.5574951171875 43.6143493652344, -79.5588684082031 43.6143493652344, -79.5588684082031 43.6129760742188))",43.613,-79.559,43.614,-79.557,POINT(-79.55822 43.61422),43.614,-79.558,Toronto,,Ontario,Canada,CA-ON,0.003,3,2022-02-02,5.1
dpz2jdy,"POLYGON((-79.5547485351562 43.6088562011719, -79.5533752441406 43.6088562011719, -79.5533752441406 43.6102294921875, -79.5547485351562 43.6102294921875, -79.5547485351562 43.6088562011719))",43.609,-79.555,43.61,-79.553,POINT(-79.55421 43.60976),43.61,-79.554,Toronto,,Ontario,Canada,CA-ON,0.007,45,2022-02-02,5.1
dpz80qy,"POLYGON((-79.4338989257812 43.6308288574219, -79.4325256347656 43.6308288574219, -79.4325256347656 43.6322021484375, -79.4338989257812 43.6322021484375, -79.4338989257812 43.6308288574219))",43.631,-79.434,43.632,-79.433,POINT(-79.43275 43.63191),43.632,-79.433,Toronto,,Ontario,Canada,CA-ON,0.057,42,2022-02-02,5.1
