,Latitude,Longitude,IncidentsTotal,SeverityScore,LATITUDE,LONGITUDE,COUNT
101,43.66,-79.35,56,0.005750000000000001,43.66,-79.35,32
102,43.66,-79.34,15,0.007333333333333334,43.66,-79.34,20
103,43.66,-79.33,6,0.0045000000000000005,43.66,-79.33,20
104,43.66,-79.32,10,0.0075,43.66,-79.32,9
105,43.66,-79.31,46,0.021400000000000002,43.66,-79.31,16
106,43.66,-79.3,17,0.01,43.66,-79.3,8
107,43.67,-79.59,80,0.006000000000000001,43.67,-79.59,5
108,43.67,-79.57,191,0.0034666666666666674,43.67,-79.57,1
109,43.67,-79.56,61,0.0108,43.67,-79.56,10
110,43.67,-79.55,37,0.011000000000000001,43.67,-79.55,10
111,43.67,-79.54,3,0.003,43.67,-79.54,2
112,43.67,-79.49,88,0.02457142857142857,43.67,-79.49,16
113,43.67,-79.47,65,0.016857142857142855,43.67,-79.47,13
114,43.67,-79.46,83,0.012857142857142857,43.67,-79.46,24
115,43.67,-79.45,26,0.044500000000000005,43.67,-79.45,21
116,43.67,-79.44,119,0.025222222222222222,43.67,-79.44,28
117,43.67,-79.43,21,0.00725,43.67,-79.43,17
118,43.67,-79.42,18,0.0124,43.67,-79.42,21
119,43.67,-79.41,53,0.009142857142857144,43.67,-79.41,18
120,43.67,-79.4,21,0.0076,43.67,-79.4,18
121,43.67,-79.39,90,0.013800000000000002,43.67,-79.39,28
122,43.67,-79.38,113,0.010714285714285716,43.67,-79.38,29
123,43.67,-79.37,66,0.00825,43.67,-79.37,13
124,43.67,-79.36,121,0.008625,43.67,-79.36,21
125,43.67,-79.35,46,0.007333333333333334,43.67,-79.35,20
126,43.67,-79.34,26,0.014599999999999998,43.67,-79.34,21
127,43.67,-79.32,3,0.009,43.67,-79.32,13
128,43.67,-79.31,15,0.013,43.67,-79.31,6
129,43.67,-79.3,25,0.015000000000000001,43.67,-79.3,12
130,43.67,-79.29,6,0.006,43.67,-79.29,6
131,43.68,-79.59,35,0.004,43.68,-79.59,10
132,43.68,-79.58,30,0.0195,43.68,-79.58,7
133,43.68,-79.55,5,0.008,43.68,-79.55,5
134,43.68,-79.54,9,0.01,43.68,-79.54,10
135,43.68,-79.53,22,0.010499999999999999,43.68,-79.53,3
136,43.68,-79.52,6,0.005,43.68,-79.52,9
