,IncidentsTotal,SeverityScore,PercentOfVehicles,AvgAcceleration,LATITUDE,LONGITUDE,COUNT,INVAGE,RDSFCOND,VISIBILITY,LIGHT,TRAFFCTL,DRIVACT,DRIVCOND,VEHTYPE,TIME
153,17.0,0.01,0.041,0.362,43.652,-79.406,2,35 to 39,Dry,Clear,Daylight,No Control,Improper Turn,Inattentive,"Automobile, Station Wagon",921.0
154,6.0,0.013,0.042,0.488,43.652,-79.398,1,75 to 79,Other,Clear,Daylight,No Control,Failed to Yield Right of Way,Inattentive,"Automobile, Station Wagon",1015.0
155,15.0,0.014,0.073,0.525,43.652,-79.382,1,20 to 24,Wet,Rain,Dark,No Control,Lost control,Had Been Drinking,"Automobile, Station Wagon",144.0
156,27.0,0.017,0.024,0.461,43.652,-79.375,1,35 to 39,Dry,Clear,Dark,Traffic Signal,Disobeyed Traffic Control,Normal,"Automobile, Station Wagon",226.0
157,14.0,0.009,0.041,0.363,43.652,-79.372,3,30 to 34,Packed Snow,Rain,Daylight,Traffic Signal,Speed too Fast For Condition,Normal,"Automobile, Station Wagon",1096.6666666666667
158,14.0,0.009,0.041,0.363,43.652,-79.372,3,55 to 59,Dry,Clear,"Dark, artificial",Traffic Signal,Failed to Yield Right of Way,Inattentive,"Automobile, Station Wagon",1096.6666666666667
159,14.0,0.009,0.041,0.363,43.652,-79.372,3,unknown,Dry,Clear,"Dark, artificial",No Control,Other,Unknown,"Automobile, Station Wagon",1096.6666666666667
160,5.0,0.008,0.036,0.441,43.652,-79.363,4,20 to 24,Dry,Clear,"Dark, artificial",No Control,Lost control,Unknown,"Automobile, Station Wagon",523.3333333333334
161,5.0,0.008,0.036,0.441,43.652,-79.363,4,35 to 39,Dry,Clear,Dark,Traffic Signal,Lost control,Had Been Drinking,"Automobile, Station Wagon",523.3333333333334
162,5.0,0.008,0.036,0.441,43.652,-79.363,4,55 to 59,Dry,Clear,Dark,Traffic Signal,Disobeyed Traffic Control,Inattentive,"Automobile, Station Wagon",523.3333333333334
163,3.0,0.005,0.033,0.625,43.654,-79.379,2,40 to 44,Dry,Clear,"Dark, artificial",Traffic Signal,Improper Turn,Inattentive,"Automobile, Station Wagon",2160.5
164,3.0,0.005,0.033,0.625,43.654,-79.379,2,40 to 44,Dry,Clear,"Dark, artificial",Traffic Signal,Lost control,Medical or Physical Disability,Passenger Van,2160.5
165,18.0,0.022,0.028,0.439,43.654,-79.363,2,25 to 29,Wet,Rain,"Dark, artificial",Traffic Signal,Other,Normal,"Automobile, Station Wagon",1756.0
166,18.0,0.022,0.028,0.439,43.654,-79.363,2,40 to 44,Wet,Rain,"Dark, artificial",Traffic Signal,Other,Normal,"Automobile, Station Wagon",1756.0
167,18.0,0.022,0.028,0.439,43.654,-79.363,2,50 to 54,Dry,Clear,Daylight,Traffic Signal,Disobeyed Traffic Control,Inattentive,"Automobile, Station Wagon",1756.0
168,39.0,0.02,0.029,0.496,43.655,-79.388,3,30 to 34,Dry,Clear,Daylight,Stop Sign,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",1477.5
169,39.0,0.02,0.029,0.496,43.655,-79.388,3,30 to 34,Dry,Clear,"Daylight, artificial",No Control,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",1477.5
170,20.0,0.026,0.024,0.528,43.655,-79.383,3,20 to 24,Dry,Clear,Dark,Traffic Signal,Lost control,Unknown,"Automobile, Station Wagon",1340.5
171,20.0,0.026,0.024,0.528,43.655,-79.383,3,40 to 44,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Inattentive,"Automobile, Station Wagon",1340.5
172,20.0,0.026,0.024,0.528,43.655,-79.383,3,60 to 64,Dry,Clear,Daylight,Traffic Signal,Other,Inattentive,Municipal Transit Bus (TTC),1340.5
173,20.0,0.026,0.024,0.528,43.655,-79.383,3,65 to 69,Dry,Clear,Dark,Traffic Signal,Improper Turn,Normal,"Automobile, Station Wagon",1340.5
174,63.0,0.046,0.039,0.646,43.656,-79.452,10,30 to 34,Wet,Rain,Dusk,Traffic Signal,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",1352.125
175,63.0,0.046,0.039,0.646,43.656,-79.452,10,35 to 39,Wet,Rain,Dark,Traffic Signal,Disobeyed Traffic Control,Inattentive,"Automobile, Station Wagon",1352.125
176,63.0,0.046,0.039,0.646,43.656,-79.452,10,40 to 44,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",1352.125
177,63.0,0.046,0.039,0.646,43.656,-79.452,10,45 to 49,Dry,Clear,Daylight,Traffic Signal,Improper Turn,Normal,Truck-Tractor,1352.125
178,63.0,0.046,0.039,0.646,43.656,-79.452,10,50 to 54,Dry,Clear,Daylight,No Control,Other,Normal,"Automobile, Station Wagon",1352.125
179,63.0,0.046,0.039,0.646,43.656,-79.452,10,50 to 54,Dry,Clear,Daylight,Traffic Signal,Disobeyed Traffic Control,"Ability Impaired, Drugs","Automobile, Station Wagon",1352.125
180,63.0,0.046,0.039,0.646,43.656,-79.452,10,unknown,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Unknown,"Automobile, Station Wagon",1352.125
181,63.0,0.046,0.039,0.646,43.656,-79.452,10,unknown,Wet,Rain,Dark,Traffic Signal,Failed to Yield Right of Way,Unknown,"Automobile, Station Wagon",1352.125
182,3.0,0.003,0.029,0.403,43.656,-79.399,3,unknown,Dry,Clear,"Dark, artificial",No Control,Other,Unknown,"Automobile, Station Wagon",250.0
183,16.0,0.018,0.052,0.523,43.656,-79.388,3,25 to 29,Dry,Clear,Daylight,Traffic Signal,Improper Turn,Normal,"Automobile, Station Wagon",1011.5
184,16.0,0.018,0.052,0.523,43.656,-79.388,3,unknown,Dry,Clear,"Dark, artificial",Traffic Signal,Lost control,Unknown,"Automobile, Station Wagon",1011.5
185,21.0,0.015,0.021,0.417,43.656,-79.381,2,unknown,Dry,Clear,"Dark, artificial",No Control,Failed to Yield Right of Way,Unknown,Taxi,235.0
186,3.0,0.005,0.036,0.434,43.656,-79.38,2,15 to 19,Dry,Clear,Daylight,Streetcar (Stop for),Disobeyed Traffic Control,Unknown,"Automobile, Station Wagon",1635.0
187,12.0,0.004,0.002,0.492,43.656,-79.352,1,15 to 19,Dry,Clear,Dark,No Control,Speed too Fast For Condition,Normal,Pick Up Truck,2345.0
188,3.0,0.001,0.004,0.511,43.656,-79.351,1,20 to 24,Wet,Rain,"Dark, artificial",No Control,Speed too Fast For Condition,Unknown,"Automobile, Station Wagon",305.0
189,8.0,0.023,0.034,0.51,43.657,-79.447,2,70 to 74,Wet,Rain,"Dark, artificial",Traffic Signal,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",2358.0
190,6.0,0.009,0.038,0.441,43.657,-79.381,3,30 to 34,Dry,Clear,Daylight,Traffic Signal,Improper Passing,Normal,"Automobile, Station Wagon",1248.0
191,12.0,0.01,0.021,0.408,43.657,-79.374,4,20 to 24,Wet,Clear,Daylight,Traffic Signal,Disobeyed Traffic Control,Had Been Drinking,"Automobile, Station Wagon",1408.5
192,12.0,0.01,0.021,0.408,43.657,-79.374,4,25 to 29,Dry,Clear,Daylight,No Control,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",1408.5
193,3.0,0.006,0.042,0.437,43.657,-79.355,1,60 to 64,Dry,Clear,Daylight,No Control,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",1835.0
194,3.0,0.001,0.015,0.467,43.657,-79.353,1,25 to 29,Dry,Clear,Daylight,No Control,Following too Close,Normal,Motorcycle,1935.0
195,3.0,0.004,0.019,0.717,43.658,-79.488,1,40 to 44,Wet,Clear,Dark,Traffic Signal,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",1823.0
196,31.0,0.021,0.024,0.362,43.658,-79.389,2,50 to 54,Dry,Clear,Daylight,No Control,Improper Turn,Normal,"Automobile, Station Wagon",900.0
197,6.0,0.004,0.036,0.458,43.658,-79.386,2,25 to 29,Wet,Rain,Daylight,No Control,<Null>,<Null>,"Automobile, Station Wagon",1568.3333333333333
198,6.0,0.004,0.036,0.458,43.658,-79.386,2,60 to 64,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",1568.3333333333333
199,6.0,0.004,0.036,0.458,43.658,-79.386,2,unknown,Wet,Rain,Daylight,No Control,<Null>,<Null>,Other,1568.3333333333333
200,9.0,0.011,0.028,0.53,43.658,-79.385,1,30 to 34,Wet,Rain,"Dark, artificial",No Control,Failed to Yield Right of Way,"Ability Impaired, Alcohol Over .08","Automobile, Station Wagon",39.0
201,16.0,0.016,0.022,0.548,43.659,-79.39,4,60 to 64,Wet,Rain,"Dark, artificial",Traffic Signal,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",2130.0
202,10.0,0.014,0.023,0.467,43.659,-79.382,4,20 to 24,Packed Snow,Snow,Daylight,No Control,Lost control,Normal,"Automobile, Station Wagon",1273.5
203,10.0,0.014,0.023,0.467,43.659,-79.382,4,35 to 39,Dry,Clear,Daylight,Traffic Signal,Improper Turn,Normal,Truck - Open,1273.5
204,10.0,0.014,0.023,0.467,43.659,-79.382,4,40 to 44,Dry,Clear,Daylight,No Control,Improper Lane Change,Normal,Motorcycle,1273.5
205,10.0,0.014,0.023,0.467,43.659,-79.382,4,55 to 59,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Normal,Truck - Dump,1273.5
206,3.0,0.009,0.024,0.423,43.659,-79.381,1,30 to 34,Dry,Clear,"Dark, artificial",No Control,Lost control,Normal,Motorcycle,145.0
207,9.0,0.012,0.052,0.358,43.659,-79.328,2,unknown,Dry,Clear,Dark,Traffic Signal,Other,Unknown,"Automobile, Station Wagon",1787.5
208,9.0,0.012,0.052,0.358,43.659,-79.328,2,unknown,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Unknown,Passenger Van,1787.5
209,4.0,0.004,0.02,0.259,43.66,-79.378,1,20 to 24,Dry,Clear,Daylight,No Control,Improper Turn,Normal,"Automobile, Station Wagon",1553.0
210,3.0,0.008,0.015,0.322,43.661,-79.429,2,50 to 54,Dry,Clear,Daylight,Traffic Signal,Improper Turn,Normal,"Automobile, Station Wagon",905.0
211,3.0,0.008,0.015,0.322,43.661,-79.429,2,75 to 79,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Inattentive,"Automobile, Station Wagon",905.0
212,6.0,0.007,0.023,0.598,43.661,-79.383,2,45 to 49,Dry,Clear,"Dark, artificial",Traffic Signal,Failed to Yield Right of Way,Inattentive,"Automobile, Station Wagon",1815.0
213,6.0,0.007,0.023,0.598,43.661,-79.383,2,45 to 49,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",1815.0
214,11.0,0.036,0.05,0.991,43.661,-79.372,1,60 to 64,Dry,Clear,"Dark, artificial",Traffic Signal,Lost control,Unknown,"Bus (Other) (Go Bus, Gray Coach)",1847.0
215,3.0,0.004,0.034,0.365,43.661,-79.358,2,unknown,Dry,Clear,"Dark, artificial",Traffic Controller,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",104.0
216,4.0,0.011,0.032,0.43,43.662,-79.425,2,45 to 49,Dry,Clear,Daylight,No Control,Failed to Yield Right of Way,Normal,Municipal Transit Bus (TTC),1734.0
217,7.0,0.014,0.032,0.629,43.662,-79.386,3,20 to 24,Dry,Clear,Daylight,Traffic Signal,Other,Normal,"Automobile, Station Wagon",1422.25
218,7.0,0.014,0.032,0.629,43.662,-79.386,3,35 to 39,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",1422.25
219,7.0,0.014,0.032,0.629,43.662,-79.386,3,45 to 49,Dry,Clear,Daylight,Traffic Signal,Other,Normal,"Automobile, Station Wagon",1422.25
220,7.0,0.014,0.032,0.629,43.662,-79.386,3,60 to 64,Dry,Clear,Daylight,No Control,Improper Lane Change,Inattentive,"Automobile, Station Wagon",1422.25
221,11.0,0.08,0.031,0.358,43.663,-79.402,4,20 to 24,Dry,Other,Daylight,No Control,Other,Unknown,"Automobile, Station Wagon",1368.3333333333333
222,11.0,0.08,0.031,0.358,43.663,-79.402,4,35 to 39,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Unknown,"Bus (Other) (Go Bus, Gray Coach)",1368.3333333333333
223,11.0,0.08,0.031,0.358,43.663,-79.402,4,35 to 39,Dry,Clear,Daylight,Traffic Signal,Improper Turn,Normal,"Automobile, Station Wagon",1368.3333333333333
224,3.0,0.006,0.033,0.589,43.663,-79.384,4,20 to 24,Dry,Clear,Daylight,Stop Sign,Failed to Yield Right of Way,"Ability Impaired, Alcohol Over .08","Automobile, Station Wagon",1843.5
225,3.0,0.006,0.033,0.589,43.663,-79.384,4,45 to 49,Dry,Clear,Daylight,No Control,Failed to Yield Right of Way,Inattentive,"Automobile, Station Wagon",1843.5
226,3.0,0.004,0.022,0.427,43.665,-79.464,3,55 to 59,Dry,Clear,Dark,Traffic Signal,Other,"Ability Impaired, Alcohol Over .08","Automobile, Station Wagon",591.5
227,3.0,0.004,0.022,0.427,43.665,-79.464,3,60 to 64,Dry,Clear,Daylight,Traffic Signal,Improper Turn,Inattentive,Truck - Open,591.5
228,3.0,0.008,0.034,0.507,43.665,-79.446,1,45 to 49,Dry,Clear,"Dark, artificial",No Control,Improper Passing,"Ability Impaired, Alcohol","Automobile, Station Wagon",1922.0
229,3.0,0.008,0.034,0.507,43.665,-79.446,1,unknown,Dry,Clear,"Dark, artificial",No Control,<Null>,Unknown,"Automobile, Station Wagon",1922.0
230,11.0,0.004,0.001,0.481,43.665,-79.356,1,20 to 24,Loose Snow,Snow,Dark,No Control,Speed too Fast For Condition,Normal,"Automobile, Station Wagon",52.0
231,21.0,0.021,0.152,0.521,43.666,-79.499,2,55 to 59,Dry,Clear,Daylight,Pedestrian Crossover,Failed to Yield Right of Way,Inattentive,"Automobile, Station Wagon",579.5
232,21.0,0.021,0.152,0.521,43.666,-79.499,2,80 to 84,Dry,Clear,Dark,Traffic Signal,Other,Other,"Automobile, Station Wagon",579.5
233,17.0,0.026,0.03,0.422,43.666,-79.378,4,50 to 54,Wet,Rain,"Dark, artificial",Traffic Signal,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",1765.5
234,17.0,0.026,0.03,0.422,43.666,-79.378,4,65 to 69,Dry,Clear,Dusk,Traffic Signal,Disobeyed Traffic Control,Inattentive,"Automobile, Station Wagon",1765.5
235,6.0,0.017,0.05,0.351,43.666,-79.316,3,30 to 34,Wet,Clear,Dark,Traffic Signal,Failed to Yield Right of Way,Inattentive,"Truck - Closed (Blazer, etc)",977.5
236,6.0,0.017,0.05,0.351,43.666,-79.316,3,35 to 39,Dry,Clear,Daylight,Traffic Signal,Improper Turn,Medical or Physical Disability,"Automobile, Station Wagon",977.5
237,3.0,0.005,0.008,0.427,43.667,-79.438,1,60 to 64,Dry,Clear,Daylight,No Control,Improper Turn,Inattentive,"Automobile, Station Wagon",1630.0
238,3.0,0.004,0.027,0.473,43.667,-79.342,3,40 to 44,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Inattentive,Truck-Tractor,1156.5
239,3.0,0.004,0.027,0.473,43.667,-79.342,3,40 to 44,Dry,Clear,Daylight,Traffic Signal,Improper Turn,Normal,"Automobile, Station Wagon",1156.5
240,6.0,0.008,0.025,0.308,43.667,-79.312,5,25 to 29,Dry,Clear,Daylight,Traffic Signal,Exceeding Speed Limit,"Ability Impaired, Alcohol","Automobile, Station Wagon",486.0
241,6.0,0.008,0.025,0.308,43.667,-79.312,5,30 to 34,Dry,Clear,Dark,Traffic Signal,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",486.0
242,6.0,0.008,0.025,0.308,43.667,-79.312,5,75 to 79,Dry,Clear,Dark,Stop Sign,Improper Turn,Normal,"Automobile, Station Wagon",486.0
243,4.0,0.006,0.061,0.709,43.668,-79.44,1,20 to 24,Dry,Clear,Daylight,No Control,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",1225.0
244,4.0,0.03,0.031,0.947,43.668,-79.386,1,35 to 39,Dry,Clear,Daylight,Traffic Signal,Lost control,Unknown,"Automobile, Station Wagon",1420.0
245,3.0,0.005,0.029,0.312,43.668,-79.34,1,65 to 69,Wet,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",1640.0
246,57.0,0.003,0.001,0.649,43.669,-79.591,2,20 to 24,Dry,Clear,"Dark, artificial",Traffic Signal,Exceeding Speed Limit,Normal,"Automobile, Station Wagon",2108.333333333333
247,57.0,0.003,0.001,0.649,43.669,-79.591,2,75 to 79,Dry,Clear,"Dark, artificial",Traffic Signal,Improper Turn,Fatigue,Truck-Tractor,2108.333333333333
248,57.0,0.003,0.001,0.649,43.669,-79.591,2,unknown,Dry,Clear,Dark,No Control,Improper Passing,Unknown,"Automobile, Station Wagon",2108.333333333333
249,8.0,0.001,0.001,0.571,43.669,-79.574,1,25 to 29,Dry,Clear,"Dark, artificial",No Control,Lost control,"Ability Impaired, Alcohol","Automobile, Station Wagon",1.0
250,12.0,0.015,0.01,0.494,43.669,-79.466,2,30 to 34,Dry,Clear,Daylight,Stop Sign,Exceeding Speed Limit,Inattentive,Motorcycle,1292.5
251,12.0,0.015,0.01,0.494,43.669,-79.466,2,40 to 44,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Inattentive,Pick Up Truck,1292.5
252,9.0,0.011,0.028,0.348,43.67,-79.433,1,70 to 74,Dry,Clear,Daylight,Stop Sign,Disobeyed Traffic Control,Normal,"Automobile, Station Wagon",1614.0
253,3.0,0.006,0.028,0.762,43.67,-79.428,3,20 to 24,Dry,Clear,Daylight,Traffic Signal,Exceeding Speed Limit,Unknown,Other,1779.0
254,3.0,0.006,0.028,0.762,43.67,-79.428,3,30 to 34,Dry,Clear,Daylight,Traffic Signal,Improper Turn,Normal,"Automobile, Station Wagon",1779.0
255,18.0,0.012,0.018,0.485,43.67,-79.389,1,45 to 49,Dry,Clear,Daylight,Stop Sign,Other,Normal,"Automobile, Station Wagon",1225.0
256,18.0,0.041,0.041,0.683,43.671,-79.471,1,55 to 59,Dry,Clear,Dark,Traffic Signal,Speed too Fast For Condition,Inattentive,"Automobile, Station Wagon",2005.0
257,13.0,0.025,0.027,0.383,43.671,-79.449,1,15 to 19,Dry,Clear,Daylight,No Control,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",1819.0
258,4.0,0.01,0.018,0.454,43.671,-79.44,1,35 to 39,Dry,Clear,Daylight,No Control,Failed to Yield Right of Way,Inattentive,"Automobile, Station Wagon",1255.0
259,8.0,0.0115,0.028,0.392,43.671,-79.39,3,35 to 39,Dry,Clear,Daylight,No Control,Improper Lane Change,Other,"Automobile, Station Wagon",1900.0
260,8.0,0.0115,0.028,0.392,43.671,-79.39,3,40 to 44,Dry,Clear,Dark,No Control,Lost control,"Ability Impaired, Alcohol Over .08","Automobile, Station Wagon",1900.0
261,7.0,0.006,0.029,0.51,43.671,-79.382,2,25 to 29,Dry,Clear,Daylight,No Control,Improper Lane Change,Unknown,"Automobile, Station Wagon",1930.0
262,3.0,0.008,0.039,0.299,43.672,-79.593,1,20 to 24,Dry,Clear,Daylight,Traffic Signal,Disobeyed Traffic Control,Inattentive,"Automobile, Station Wagon",622.0
263,4.0,0.004,0.024,0.382,43.672,-79.467,2,25 to 29,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Inattentive,"Automobile, Station Wagon",1223.0
264,5.0,0.007,0.034,0.382,43.673,-79.463,5,20 to 24,Dry,Clear,"Dark, artificial",Traffic Signal,Lost control,Normal,"Automobile, Station Wagon",2313.0
265,12.0,0.015,0.029,0.339,43.673,-79.414,5,50 to 54,Dry,Clear,Dark,No Control,Improper Passing,Normal,Municipal Transit Bus (TTC),1507.25
266,12.0,0.015,0.029,0.339,43.673,-79.414,5,50 to 54,Dry,Clear,Daylight,No Control,Lost control,Normal,Motorcycle,1507.25
267,12.0,0.015,0.029,0.339,43.673,-79.414,5,55 to 59,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Inattentive,Delivery Van,1507.25
268,12.0,0.015,0.029,0.339,43.673,-79.414,5,60 to 64,Loose Snow,Snow,Daylight,Traffic Signal,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",1507.25
269,13.0,0.009,0.038,0.418,43.673,-79.388,2,60 to 64,Dry,Clear,Daylight,No Control,Improper Lane Change,Inattentive,"Automobile, Station Wagon",1628.0
270,3.0,0.003,0.056,0.5,43.673,-79.384,1,40 to 44,Dry,Clear,Daylight,Stop Sign,Following too Close,Unknown,"Automobile, Station Wagon",1630.0
271,20.0,0.015,0.036,0.383,43.674,-79.564,1,20 to 24,Dry,Clear,"Dark, artificial",Traffic Signal,Lost control,"Ability Impaired, Alcohol Over .08","Automobile, Station Wagon",321.0
272,10.0,0.016,0.042,0.543,43.674,-79.463,1,20 to 24,Dry,Clear,Daylight,Stop Sign,Other,Normal,"Automobile, Station Wagon",1045.0
273,4.0,0.01,0.08,0.466,43.674,-79.428,1,60 to 64,Wet,Clear,Dark,Pedestrian Crossover,Failed to Yield Right of Way,Inattentive,"Automobile, Station Wagon",852.0
274,6.0,0.008,0.024,0.547,43.674,-79.396,1,15 to 19,Dry,Clear,"Dark, artificial",Traffic Signal,Other,Unknown,"Automobile, Station Wagon",2320.0
275,21.0,0.042,0.012,0.45,43.674,-79.392,2,20 to 24,Dry,Clear,Daylight,Traffic Signal,Disobeyed Traffic Control,Normal,"Automobile, Station Wagon",1869.5
276,21.0,0.042,0.012,0.45,43.674,-79.392,2,25 to 29,Wet,Rain,Dark,Traffic Signal,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",1869.5
277,3.0,0.005,0.038,0.404,43.675,-79.407,4,10 to 14,Dry,Clear,Daylight,No Control,Improper Turn,Normal,Other,1407.6666666666667
278,3.0,0.005,0.038,0.404,43.675,-79.407,4,25 to 29,Dry,Clear,Daylight,Stop Sign,Failed to Yield Right of Way,Inattentive,"Automobile, Station Wagon",1407.6666666666667
279,3.0,0.005,0.038,0.404,43.675,-79.407,4,25 to 29,Dry,Clear,Dusk,Stop Sign,Disobeyed Traffic Control,Normal,"Automobile, Station Wagon",1407.6666666666667
280,6.0,0.015,0.024,0.467,43.675,-79.396,1,25 to 29,Dry,Clear,Daylight,No Control,Following too Close,Inattentive,"Automobile, Station Wagon",1420.0
281,3.0,0.008,0.04,0.482,43.676,-79.495,4,20 to 24,Dry,Clear,Dark,Traffic Signal,Exceeding Speed Limit,Normal,"Automobile, Station Wagon",1191.5
282,3.0,0.008,0.04,0.482,43.676,-79.495,4,30 to 34,Dry,Clear,Daylight,No Control,Lost control,Normal,"Automobile, Station Wagon",1191.5
283,3.0,0.008,0.04,0.482,43.676,-79.495,4,50 to 54,Dry,Clear,Daylight,Traffic Signal,Following too Close,Inattentive,"Automobile, Station Wagon",1191.5
284,3.0,0.008,0.04,0.482,43.676,-79.495,4,55 to 59,Dry,Clear,Dark,Traffic Signal,Failed to Yield Right of Way,Inattentive,"Automobile, Station Wagon",1191.5
285,17.0,0.021,0.023,0.513,43.676,-79.361,1,20 to 24,Dry,Clear,Daylight,No Control,Lost control,Fatigue,"Automobile, Station Wagon",709.0
286,12.0,0.012,0.017,0.376,43.677,-79.55,2,45 to 49,Dry,Clear,Daylight,Traffic Signal,Disobeyed Traffic Control,Normal,"Automobile, Station Wagon",882.0
287,12.0,0.012,0.017,0.376,43.677,-79.55,2,85 to 89,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Unknown,"Automobile, Station Wagon",882.0
288,5.0,0.031,0.051,0.813,43.677,-79.446,2,35 to 39,Dry,Clear,Dark,No Control,Exceeding Speed Limit,Inattentive,Motorcycle,2301.0
289,5.0,0.031,0.051,0.813,43.677,-79.446,2,45 to 49,Dry,Clear,Dark,No Control,Improper Lane Change,Normal,"Automobile, Station Wagon",2301.0
290,18.0,0.035,0.026,0.765,43.677,-79.443,6,unknown,Wet,Clear,"Dark, artificial",Traffic Signal,Other,Unknown,<Null>,438.0
291,11.0,0.02,0.037,0.399,43.677,-79.397,1,30 to 34,Dry,Clear,Daylight,No Control,Improper Passing,Normal,Truck - Open,1748.0
292,3.0,0.008,0.022,0.387,43.678,-79.551,3,30 to 34,Dry,Clear,Dusk,No Control,Following too Close,Normal,"Automobile, Station Wagon",1800.3333333333333
293,3.0,0.008,0.022,0.387,43.678,-79.551,3,40 to 44,Dry,Clear,Daylight,Traffic Signal,Disobeyed Traffic Control,Normal,"Automobile, Station Wagon",1800.3333333333333
294,3.0,0.008,0.022,0.387,43.678,-79.551,3,70 to 74,Dry,Clear,Dark,Traffic Signal,Following too Close,Inattentive,"Automobile, Station Wagon",1800.3333333333333
295,3.0,0.007,0.057,0.379,43.678,-79.405,1,30 to 34,Dry,Clear,Dark,Stop Sign,Speed too Fast For Condition,Had Been Drinking,Motorcycle,120.0
296,3.0,0.008,0.022,0.378,43.678,-79.301,1,60 to 64,Dry,Clear,Daylight,Pedestrian Crossover,Failed to Yield Right of Way,Inattentive,"Automobile, Station Wagon",1452.0
297,3.0,0.005,0.009,0.365,43.679,-79.465,3,45 to 49,Dry,Clear,Daylight,No Control,Lost control,Medical or Physical Disability,"Automobile, Station Wagon",901.5
298,3.0,0.005,0.009,0.365,43.679,-79.465,3,60 to 64,Dry,Clear,Daylight,No Control,Lost control,Unknown,"Automobile, Station Wagon",901.5
299,5.0,0.022,0.04,1.036,43.68,-79.497,2,35 to 39,Dry,Clear,Daylight,No Control,Other,Fatigue,"Automobile, Station Wagon",602.0
300,25.0,0.018,0.04,0.548,43.681,-79.476,7,15 to 19,Wet,Rain,Dark,Traffic Signal,Improper Turn,Normal,"Automobile, Station Wagon",1344.0
301,25.0,0.018,0.04,0.548,43.681,-79.476,7,25 to 29,Dry,Clear,"Dark, artificial",Traffic Signal,Failed to Yield Right of Way,Inattentive,Municipal Transit Bus (TTC),1344.0
302,25.0,0.018,0.04,0.548,43.681,-79.476,7,40 to 44,Dry,Clear,Daylight,No Control,Improper Turn,Inattentive,"Automobile, Station Wagon",1344.0
303,25.0,0.018,0.04,0.548,43.681,-79.476,7,60 to 64,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Unknown,"Automobile, Station Wagon",1344.0
304,25.0,0.018,0.04,0.548,43.681,-79.476,7,60 to 64,Wet,Clear,"Dark, artificial",Yield Sign,Failed to Yield Right of Way,Normal,Truck-Tractor,1344.0
305,4.0,0.013,0.023,0.602,43.681,-79.417,3,20 to 24,Dry,Clear,Daylight,No Control,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",1723.3333333333333
306,4.0,0.013,0.023,0.602,43.681,-79.417,3,55 to 59,Other,Other,Dark,No Control,Other,Unknown,Other,1723.3333333333333
307,4.0,0.013,0.023,0.602,43.681,-79.417,3,65 to 69,Wet,Rain,Dark,No Control,Other,"Ability Impaired, Alcohol","Automobile, Station Wagon",1723.3333333333333
308,5.0,0.011,0.016,0.47,43.681,-79.391,2,unknown,Dry,Clear,Daylight,Traffic Signal,Other,Unknown,"Automobile, Station Wagon",1600.0
309,7.0,0.004,0.0,0.127,43.681,-79.362,3,20 to 24,Wet,Clear,Dark,No Control,Improper Lane Change,Normal,"Automobile, Station Wagon",1377.6666666666667
310,7.0,0.004,0.0,0.127,43.681,-79.362,3,25 to 29,Dry,Clear,"Dark, artificial",No Control,Exceeding Speed Limit,Unknown,"Automobile, Station Wagon",1377.6666666666667
