,LATITUDE,LONGITUDE,COUNT
244,43.636,-79.444,2
245,43.636,-79.443,1
246,43.636,-79.442,1
247,43.636,-79.441,1
248,43.636,-79.435,1
249,43.636,-79.409,1
250,43.636,-79.406,1
251,43.636,-79.402,1
252,43.636,-79.401,1
253,43.636,-79.4,1
254,43.636,-79.399,7
255,43.637,-79.537,1
256,43.637,-79.47,1
257,43.637,-79.469,2
258,43.637,-79.463,1
259,43.637,-79.458,2
260,43.637,-79.457,2
261,43.637,-79.448,1
262,43.637,-79.447,2
263,43.637,-79.446,2
264,43.637,-79.436,1
265,43.637,-79.435,3
266,43.637,-79.434,2
267,43.637,-79.433,1
268,43.637,-79.431,2
269,43.637,-79.428,1
270,43.637,-79.419,1
271,43.637,-79.412,1
272,43.637,-79.403,1
273,43.637,-79.401,1
274,43.637,-79.399,1
275,43.637,-79.398,1
276,43.637,-79.397,2
277,43.637,-79.395,1
278,43.637,-79.39,1
279,43.638,-79.551,2
280,43.638,-79.547,1
281,43.638,-79.537,2
282,43.638,-79.457,1
283,43.638,-79.453,1
284,43.638,-79.446,1
285,43.638,-79.436,1
286,43.638,-79.431,1
287,43.638,-79.429,1
288,43.638,-79.428,1
289,43.638,-79.427,2
290,43.638,-79.4,1
291,43.638,-79.392,1
292,43.638,-79.391,1
293,43.638,-79.39,1
294,43.638,-79.388,1
295,43.638,-79.387,1
296,43.638,-79.386,3
297,43.639,-79.584,1
298,43.639,-79.583,1
299,43.639,-79.547,1
300,43.639,-79.46,1
301,43.639,-79.456,1
302,43.639,-79.451,1
303,43.639,-79.45,1
304,43.639,-79.448,1
305,43.639,-79.442,1
306,43.639,-79.439,2
307,43.639,-79.435,1
308,43.639,-79.424,2
309,43.639,-79.423,1
310,43.639,-79.397,1
311,43.639,-79.392,1
312,43.639,-79.386,3
313,43.639,-79.383,1
314,43.639,-79.382,2
315,43.639,-79.381,2
316,43.639,-79.38,5
317,43.639,-79.346,1
318,43.639,-79.345,1
319,43.64,-79.557,1
320,43.64,-79.539,1
321,43.64,-79.49,1
322,43.64,-79.454,1
323,43.64,-79.438,1
324,43.64,-79.437,2
325,43.64,-79.436,2
326,43.64,-79.434,2
327,43.64,-79.427,1
328,43.64,-79.423,1
329,43.64,-79.417,2
330,43.64,-79.411,2
331,43.64,-79.401,2
332,43.64,-79.392,2
333,43.64,-79.388,1
334,43.64,-79.383,3
335,43.64,-79.38,1
336,43.64,-79.378,1
337,43.641,-79.579,1
338,43.641,-79.559,1
339,43.641,-79.521,1
340,43.641,-79.454,1
341,43.641,-79.447,1
342,43.641,-79.446,2
343,43.641,-79.434,3
344,43.641,-79.433,1
345,43.641,-79.428,1
346,43.641,-79.415,2
347,43.641,-79.411,1
348,43.641,-79.401,2
349,43.641,-79.393,1
350,43.641,-79.391,2
351,43.641,-79.38,2
352,43.641,-79.379,1
353,43.641,-79.375,1
354,43.641,-79.349,1
355,43.642,-79.575,1
356,43.642,-79.574,1
357,43.642,-79.565,3
358,43.642,-79.535,1
359,43.642,-79.522,1
360,43.642,-79.507,1
361,43.642,-79.432,1
362,43.642,-79.429,1
363,43.642,-79.428,3
364,43.642,-79.427,3
365,43.642,-79.426,1
366,43.642,-79.425,1
367,43.642,-79.414,1
368,43.642,-79.411,2
369,43.642,-79.408,1
370,43.642,-79.402,1
371,43.642,-79.395,1
372,43.642,-79.393,1
373,43.642,-79.383,2
374,43.642,-79.382,1
375,43.642,-79.381,1
376,43.642,-79.377,6
377,43.642,-79.373,1
378,43.642,-79.34,1
379,43.643,-79.573,1
380,43.643,-79.572,3
381,43.643,-79.53,1
382,43.643,-79.484,1
383,43.643,-79.455,1
384,43.643,-79.439,1
