,LATITUDE,LONGITUDE,COUNT
244,43.649,-79.45,1
245,43.649,-79.444,1
246,43.649,-79.433,2
247,43.649,-79.431,3
248,43.649,-79.428,1
249,43.649,-79.423,1
250,43.649,-79.422,1
251,43.649,-79.421,1
252,43.649,-79.42,2
253,43.649,-79.418,1
254,43.649,-79.416,1
255,43.649,-79.396,1
256,43.649,-79.394,2
257,43.649,-79.393,1
258,43.649,-79.391,1
259,43.649,-79.39,2
260,43.649,-79.387,1
261,43.649,-79.384,1
262,43.649,-79.382,1
263,43.649,-79.38,1
264,43.649,-79.377,1
265,43.649,-79.367,1
266,43.65,-79.568,1
267,43.65,-79.539,1
268,43.65,-79.48,2
269,43.65,-79.479,1
270,43.65,-79.478,2
271,43.65,-79.441,1
272,43.65,-79.439,3
273,43.65,-79.413,1
274,43.65,-79.406,1
275,43.65,-79.397,2
276,43.65,-79.391,1
277,43.65,-79.389,1
278,43.65,-79.388,2
279,43.65,-79.387,2
280,43.65,-79.386,5
281,43.65,-79.377,1
282,43.65,-79.367,1
283,43.651,-79.603,1
284,43.651,-79.569,1
285,43.651,-79.526,1
286,43.651,-79.476,1
287,43.651,-79.475,2
288,43.651,-79.436,1
289,43.651,-79.421,1
290,43.651,-79.411,1
291,43.651,-79.41,1
292,43.651,-79.408,3
293,43.651,-79.397,3
294,43.651,-79.391,1
295,43.651,-79.385,1
296,43.651,-79.384,2
297,43.651,-79.383,2
298,43.651,-79.381,4
299,43.651,-79.379,1
300,43.651,-79.377,2
301,43.651,-79.375,1
302,43.651,-79.374,2
303,43.651,-79.372,1
304,43.651,-79.371,1
305,43.651,-79.367,1
306,43.651,-79.362,1
307,43.651,-79.357,1
308,43.652,-79.485,1
309,43.652,-79.469,1
310,43.652,-79.432,1
311,43.652,-79.421,1
312,43.652,-79.406,1
313,43.652,-79.405,3
314,43.652,-79.404,1
315,43.652,-79.401,1
316,43.652,-79.399,1
317,43.652,-79.398,1
318,43.652,-79.397,3
319,43.652,-79.378,2
320,43.652,-79.376,1
321,43.652,-79.372,3
322,43.653,-79.572,1
323,43.653,-79.463,1
324,43.653,-79.451,1
325,43.653,-79.422,1
326,43.653,-79.396,2
327,43.653,-79.393,1
328,43.653,-79.379,1
329,43.653,-79.378,1
330,43.653,-79.375,1
331,43.653,-79.373,2
332,43.653,-79.34,1
333,43.654,-79.564,1
334,43.654,-79.48,1
335,43.654,-79.433,1
336,43.654,-79.422,2
337,43.654,-79.415,1
338,43.654,-79.406,3
339,43.654,-79.398,2
340,43.654,-79.388,2
341,43.654,-79.386,1
342,43.654,-79.378,1
343,43.654,-79.373,1
344,43.654,-79.369,4
345,43.654,-79.367,1
346,43.654,-79.366,1
347,43.654,-79.365,1
348,43.654,-79.36,1
349,43.654,-79.337,1
350,43.655,-79.487,1
351,43.655,-79.457,1
352,43.655,-79.452,3
353,43.655,-79.433,2
354,43.655,-79.399,4
355,43.655,-79.398,2
356,43.655,-79.388,1
357,43.655,-79.386,2
